ID|Action|Type|Point|Line|Poly|Preset_Path|OSM_Tag|OSM_Wiki_Link|POI|POI_Values|POI_OSM_Tags|POI_GIS_Tags|Road|Road_Values|Road_OSM_Tags|Road_GIS_Tags|Trail|Trail_Values|Trail_OSM_Tags|Trail_GIS_Tags|Building|Building_Values|Building_OSM_Tags|Building_GIS_Tags
58||Gas Station|x||x|amenity/fuel|{"amenity":"fuel"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfuel|Yes|{"POITYPE":"Gas Station"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
59|x|Geyser|x||x|natural/geyser|{"natural":"geyser"}|http://wiki.openstreetmap.org/wiki/Tag:naturak%3Dgeyser|Yes|{"POITYPE":"Geyser"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
60|x|Glacier|x|x|x|natural/glacier|{"natural":"glacier"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dglacier|Yes|{"POITYPE":"Glacier"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
61||Golf Course|x||x|leisure/golf_course|{"leisure":"golf_course"}|http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dgolf_course|Yes|{"POITYPE":"Golf Course"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
62|Add from GNIS|Grassland (Plain)|||x|natural/grassland|{"natural":"grassland"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dgrassland|Yes|{"POITYPE":"Grassland (Plain)"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
63||Greenhouse|x||x|building/greenhouse|{"building":"greenhouse"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dgreenhouse|Yes|{"POITYPE":"Greenhouse"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
64|GNIS|Gut|||||||Yes|{"POITYPE":"Gut"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
65|Add from GNIS|Harbor|x||x||{"harbour":"yes"}|http://wiki.openstreetmap.org/wiki/Harbour|Yes|{"POITYPE":"Harbor"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
66||Headquarters|x||x|building/gov_headquarters|{"building":"office","office":"government","function":"headquarters"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Doffice|Yes|{"POITYPE":"Headquarters"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
67||Historic Building|x||x|historic/building|{"building":"yes","historic":"building"}|http://wiki.openstreetmap.org/wiki/Tag:historic%3Dbuilding|Yes|{"POITYPE":"Historic Building"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
68|Add OSM preset tag|Historic Mine|x||||{"historic":"mine"}|http://wiki.openstreetmap.org/wiki/Tag:historic%3Dmine|Yes|{"POITYPE":"Historic Mine"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
69|DEPRECATE|Horseback Riding||||leisure/horseback_riding|{"leisure":"horse_riding"}|||||||||||||||||
70|x|Hospital Building|x||x|building/hospital|{"building":"hospital"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dhospital|Yes|{"POITYPE":"Hospital Building"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
71||Hospital Grounds|x||x|amenity/hospital|{"amenity":"hospital"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dhospital|Yes|{"POITYPE":"Hospital Grounds"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
72||Hotel Building|x||x|building/hotel|{"building":"hotel"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dhotel|Yes|{"POITYPE":"Hotel Building"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
73||House|x||x|building/house|{"building":"house"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dhouse|Yes|{"POITYPE":"House"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
74||Hut|x||x|building/hut|{"building":"hut"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dhut|Yes|{"POITYPE":"Hut"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
75||Ice Rink|x||x|leisure/ice_rink|{"leisure":"ice_rink"}|http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dice_rink|Yes|{"POITYPE":"Ice Rink"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
76||Industrial Building|x||x|building/industrial|{"building":"industrial"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dindustrial|Yes|{"POITYPE":"Industrial Building"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
77||Information|x||x|tourism/information|{"tourism":"information"}|http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dinformation|Yes|{"POITYPE":"Information"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
78||Information  Map|x|||tourism/map|{"tourism":"information","information":"map"}|http://wiki.openstreetmap.org/wiki/Tag:information%3Dmap|Yes|{"POITYPE":"Information  Map"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
79|x|Island|x||x|place/island|{"place":"island"}|http://wiki.openstreetmap.org/wiki/Tag:place%3Disland|Yes|{"POITYPE":"Island"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
80|Add from GNIS|Isthmus|x||x||{"natural":"isthmus"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Disthmus|Yes|{"POITYPE":"Isthmus"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
81|Add from GNIS|Lake|||x|natural/water/lake|{"natural":"water","water":"lake"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater|Yes|{"POITYPE":"Lake"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
82|Add from GNIS|Lava|||x||{"natural":"lava"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dlava|Yes|{"POITYPE":"Lava"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
83|Add from GNIS|Locale|x||x|place/locality|{"place":"locality"}|http://wiki.openstreetmap.org/wiki/Tag:place%3Dlocality|Yes|{"POITYPE":"Locale"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
84||Lodge|x||x|tourism/alpine_hut|{"tourism":"alpine_hut"}|http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dalpine_hut|Yes|{"POITYPE":"Lodge"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
85||Lodging|x||x|tourism/hotel|{"tourism":"hotel"}|http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dhotel|Yes|{"POITYPE":"Lodging"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
86||Marina|x||x|leisure/marina|{"leisure":"marina"}|http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dmarina|Yes|{"POITYPE":"Marina"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
87||Metro Stop / Subway Entrance|x|||railway/subway_entrance|{"railway":"subway_entrance"}|http://wiki.openstreetmap.org/wiki/Tag:railway%3Dsubway_entrance|Yes|{"POITYPE":"Metro Stop / Subway Entrance"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
88|Add from GNIS|Military Area|||x|landuse/military|{"landuse":"military"}|http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dmilitary|Yes|{"POITYPE":"Military Area"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
89||Monument|x||x|historic/monument|{"historic":"monument"}|http://wiki.openstreetmap.org/wiki/Tag:historic%3Dmonument|Yes|{"POITYPE":"Monument"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
90|Change OSM preset tag|Motorcycle Trail|x|x|||{"highway":"track","motorcycle":"yes"}|http://wiki.openstreetmap.org/wiki/Key:motorcycle|Yes|{"POITYPE":"Motorcycle Trail"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_MOTORCYCLE":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
91|Add OSM preset tag|Motorized Watercraft Trail||x|||{"motorboat":"yes"}|http://wiki.openstreetmap.org/wiki/Key:motorboat|||||||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_MOTORBOAT":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
92|DEPRECATE|Motorway||||highway/motorway|{"highway":"motorway"}|||||||||||||||||
93|DEPRECATE|Motorway Link||||highway/motorway_link|{"highway":"motorway_link"}|||||||||||||||||
94|Add from GNIS|Mountain Pass (Gap)|x||||{"mountain":"yes"}|http://wiki.openstreetmap.org/wiki/Key:mountain_pass|Yes|{"POITYPE":"Mountain Pass (Gap)"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
95|Add OSM preset tag|Non-Motorized Watercraft Trail||x|||{"canoe":"yes"}|http://wiki.openstreetmap.org/wiki/Key:canoe|||||||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_CANOE":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
96||Office|x||x|building/office|{"building":"office"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Doffice|Yes|{"POITYPE":"Office"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
97|Add from GNIS|Oilfield|x||x||{"manmade":"oilfield"}|http://wiki.openstreetmap.org/wiki/Tag:man_made%3Doilfield|Yes|{"POITYPE":"Oilfield"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
98|Add from GNIS|Park|||x|leisure/park|{"leisure":"park"}|http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpark|Yes|{"POITYPE":"Park"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
99||Parking|x||x|amenity/parking|{"amenity":"parking"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dparking|Yes|{"POITYPE":"Parking"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
100|x|Peak|x|||natural/peak|{"natural":"peak"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dpeak|Yes|{"POITYPE":"Peak"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
101||Picnic Area|x||x|tourism/picnic_site|{"tourism":"picnic_site"}|http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dpicnic_site|Yes|{"POITYPE":"Picnic Area"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
102|GNIS|Pillar|||||||Yes|{"POITYPE":"Pillar"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
103|x|Plateau|x||x|natural/plateau|{"natural":"landform","landform":"plateau"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dlandform|Yes|{"POITYPE":"Plateau"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
104|x|Post Office|x||x|amenity/post_office|{"amenity":"post_office"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpost_office|Yes|{"POITYPE":"Post Office"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
105|x|Prarie|||x|natural/prarie|{"natural":"grassland","grassland":"prarie"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dgrassland|Yes|{"POITYPE":"Prarie"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
106|x|Primary Link||x||highway/primary_link|{"highway":"primary_link"}|http://wiki.openstreetmap.org/wiki/Highway_link|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Primary"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
